,Time,Sim1,Sim2,Sim3
13384,,Meredith Monk,Sun Ra,Louis Hardin
13385,10 September 1908,Bruce Haack,Tiny Tim,Moondog
13386,2 May 1602,Giuseppe De Vittorio,Stefano Landi,Johann Daniel Mylius
13387,26 October 1685,Arcangelo Corelli,Georg Friedrich Händel,François Couperin
13388,,Vicente Hernandez,"Steve Reich, Arvo Part, Ludovico Einaudi, Hans Otte, Henryk",Alex Ookpik
13389,,Ada Milea,Adrian Berinde&Ada Milea,Alexandru Andries
13390,1955 – 1968 (13 years),Miles Davis,Hank Mobley,Sonny Rollins
13391,8 January 1905,Morton Feldman,Olivier Messiaen,Iannis Xenakis
13392,,Iron Jesus,Alex Ookpik,Mikael Lind
13393,,Von Iva,Munchausen by Proxy; Von Iva; Zooey Deschanel,Party Monster
13394,2008 – present (14 years),Nate Ruess,The Format,Steel Train
13395,1996 – present (26 years),Chadwick Stokes,State Radio,O.A.R.
13396,1997 – present (25 years),Rebelution,Soldiers of Jah Army,Tribal Seeds
13397,,Bandaliera,Mr. Pi,Acústicos e Valvulados
13398,22 November 1982 (age 40),Axwell,Sebastian Ingrosso,Swedish House Mafia
13399,1991 – present (31 years),Grinspoon,Lagwagon,Good Riddance
13400,1989 – 2004 (15 years),Buck-O-Nine,Save Ferris,Mustard Plug
13401,1989 – present (33 years),Face to Face,Ten Foot Pole,Pulley
13402,1973 (age 49),The Weakerthans,Kevin Devine,David Bazan
13403,1985 – 1991 (6 years),Gorilla Biscuits,The Teen Idles,7Seconds
13404,1999 – present (23 years),Lauxna Lauksna,Obšrr,Girnų Giesmės
13405,,Hiltmeyer Inc.,Burro Music,Angelo D'onorio
13406,,Birds and Buildings,Maxophone,Metamorfosi
13407,28 July 1943,Roger Waters,David Gilmour,Pink Floyd
13408,,Grup Ekin,Umuda Ezgi,Mehmet Celal
13409,1972 – 1977 (5 years),Steve Harley & Cockney Rebel,Steve Harley,Mott the Hoople
13410,,Stelios Petrakis,Yalla Babo Express Orchestra,Dezoriental
13411,,Agire Jiyan,Mikail Aslan,Rojin
13412,2 July 1946 (age 76),Marc Aryan,Alpay,Münir Nurettin Selçuk
13413,1959 (age 63),Servet Kocakaya,Kızılırmak,Muhlis Akarsu
13414,,,,
13415,19 January 1922,Steven Halpern,R. Carlos Nakai,William Ackerman
13416,1986 – present (36 years),Triskilian,Psalteria,Poeta Magica
13417,15 January 1902,Ahmed Arif,Kızılırmak,Suavi
13418,1997 – 2008 (11 years),Courtney Love,The Distillers,L7
13419,1999 – 2008 (9 years),Suburban Tribe,Ruoska,Stam1na
13420,,Flamboyant Bella,Luke Leighfield,Leddra Chapman
13421,,Serpents Kiss,Shadow of Everest,Structural Disorder
13422,,"Schütz, Heinrich",,
13423,,"Yana, Kate","Stigers, Curtis","Almeida, Laurindo"
13424,1993 – present (29 years),Watchtower,Blotted Science,Spiral Architect
13425,4 September 1824,Gustav Mahler,Johannes Brahms,Antonín Dvořák
13426,1987 – present (35 years),Will Downing,The Manhattan Transfer,The Singers Unlimited
13427,10 December 1908,György Ligeti,Arnold Schönberg,Anton Webern
13428,,Chick Corea & John Mclaughlin,John McLaughlin and the 4th Dimension,Jonas Hellborg
13429,,,,
13430,,"David Oistrakh, Mstislav Rostropovich, Sviatoslav Richter; Herbert Von Karajan: Berlin Philharmonic Orchestra","David Oistrakh, Mstislav Rostropovich, Sviatoslav Richter, Herbert von Karajan; Berlin Philharmonic Orchestra","David Oistrakh, Mstislav Rostropovich, Sviatoslav Richter; Herbert von Karaj"
13431,,,,
13432,,"David Oistrakh, Mstislav Rostropovich; George Szell: Cleveland Orchestra","Kyung-Wha Chung, Peter Frankel",Leonard Bernstein: New York Philharmonic Orchestra
13433,2017 – present (5 years),Jimmy Robbins,Holiday Parade,Parade the Day
13434,3 September 1989 (age 33),The Perfect Measure,The Apathy Eulogy,Time and Distance
13435,1896,Blind Willie McTell,Blind Willie Johnson,Brownie McGhee
13436,,Across the Waters,Margaret Barry & Michael Gorman,Irish Pipes & Tinwhistle
13437,1974 – present (48 years),Robert Cray,Ronnie Baker Brooks,Walter Trout
13438,,,,
13439,,,,
13440,,HBO Podcasts,Comedy Central,The Onion
13441,18 July 1929,Bo Diddley,LaVern Baker,C.W. Stoneking
13442,11 January 1924,Sonny Boy Williamson,Jimmy Reed,Junior Wells
13443,12 March 1896,K.C. Douglas,Robert Pete Williams,Barbecue Bob
13444,15 June 1947 (age 75),Long Time Comin,Little David,Los Gallos
13445,3 October 1972 (age 50),G. Love & Special Sauce,Animal Liberation Orchestra,Donavon Frankenreiter
13446,19 September 1956 (age 66),De Dannan,Danú,Tommy Peoples
13447,11 November 1958,Allan Taylor,Steve Strauss,Jennifer Warnes
13448,,Shane Brady,Jim Brannigan,Straight Furrow
13449,,mtv news,Comedy Central,The Onion
13450,,Dylan Singh,Beau Shelby & Flyy,X-Patriate (Alan J. Lipman)
13451,,Margaret Barry & Michael Gorman,Patty Furlong,Leo Rowsome
13452,,Irish Stout,Maidens IV,Poitin
13453,30 July 1948 (age 74),Brother Dege,Juzzie Smith,Omar & The Howlers
13454,1969 – present (53 years),Bob Weir,Little Feat,The Allman Brothers Band
13455,1995 – present (27 years),Michael McGoldrick,Lúnasa,Beoga
13456,31 January 1915,Skip James,Blind Willie Johnson,Furry Lewis
13457,25 April 1977 (age 45),MercyMe,Casting Crowns,Brandon Heath
13458,,Natalie Grant,Point of Grace,Michael W. Smith
13459,,MercyMe,Newsboys,Point of Grace
13460,16 April 1973 (age 49),Akon & Ray Lavender,akon & wyclef jean,Akon & T-pain
13461,21 December 1971 (age 50),Britt Nicole,Mandisa,Francesca Battistelli
13462,2004 – present (18 years),Sven-R-G vs. Bass-T,Ole van Dansk,2 Vibez
13463,19 October 1969 (age 53),Ultrabeat,Special D.,Ann Lee
13464,1994 – present (28 years),Matthew West,Casting Crowns,Jeremy Camp
13465,,Cadia,Kerrie Roberts,Addison Road
13466,22 July 1983,Le Truk,Check,Баста / Гуф
13467,,Нечетный Воин,Сплин И Би-2,Князь
13468,15 July 1969 (age 53),Сплин,Борис Гребенщиков,Чиж & Co
13469,3 December 1975 (age 47),Shwayze,Asher Roth,Riff Raff
13470,,ДецлЪ aka Le Truk Ft. Смоки Мо,ДецлЪ aka Le Truk Ft. Bess,ДецлЪ aka Le Truk Ft. Кнара
13471,2009 – 2017 (8 years),Sonic Death,Арсений Креститель,мс улыбочка
13472,,owls perish in dreams,From North,lula fortune
13473,,Дайте Танк (!),Нервы,Пасош
13474,1983 – 2016 (33 years),54-40,Blue Rodeo,Matthew Good Band
13475,1987 – 1994 (7 years),Wigwam,Hidria Spacefolk,Von Hertzen Brothers
13476,,Replace,[+] Hori,Catch Side
13477,22 April 1987 (age 35),Kimberly Caldwell,Ashlyne Huff,Tino Coury
13478,,Ian Alone,Kentö,Rocket7
13479,,Walter Goulet,Dzalowa,Adam Brożyński
13480,,iNFeatr,Third Supply,Dear Nemesis
13481,,Death Ambient,Star of Ash,Bogus Blimp
13482,6 September 1974 (age 48),A Camp,The Cardigans,Anna Ternheim
13483,2006 – present (16 years),Five Finger Death Punch,Texas Hippie Coalition,Damageplan
13484,2004 – 2012 (8 years),Dartz!,Pull Tiger Tail,Larrikin Love
13485,,Cello Fury,Primitivity,Clocks & Clouds
13486,2001 – present (21 years),Rogue Wave,Mates of State,EL VY
13487,2004 – present (18 years),The Tallest Man on Earth,Iron & Wine,Great Lake Swimmers
13488,,Liily,Carina Round,Children Collide
13489,2002 – present (20 years),Say Hi To Your Mom,Shout Out Louds,Someone Still Loves You Boris Yeltsin
13490,,Harry Escott,Michl Britsch,Seppuku Paradigm
13491,,Shelby Sifers,Madeline Ava,Tinyfolk
13492,2006 – present (16 years),Kaija Koo,Ellinoora,Happoradio
13493,1998 – present (24 years),Imelda May,The Creepshow,Lee Rocker
13494,25 March 1934,Gene Vincent & His Blue Caps,Eddie Cochran,Gene Vincent
13495,5 February 1951 (age 71),Jimmy Nelson,Andy Fairweather Low,Berdon Kirksaether
13496,1998 – present (24 years),Trampled by Turtles,The Devil Makes Three,The Steeldrivers
13497,,Nadja Zela,Dan Costello,Adrian Weyermann
13498,"Savannah, Hardin County, Tennessee, United States",Mud Boy And The Neutrons,Dewey Phillips,Sid Selvidge
13499,1992 – present (30 years),Rockin' Ryan & The Real Goners,Vince Ray & The Boneshakers,Hellbilly Boys
13500,25 November 1966 (age 56),Tim Timebomb,Lars Frederiksen and the Bastards,Rancid
13501,13 September 1922,Martin Denny,Les Baxter,Arthur Lyman
13502,18 February 1941 (age 81),Lee Dorsey,James Carr,Solomon Burke
13503,30 April 1925,Jimmy Dean,Tennessee Ernie Ford,Marty Robbins
13504,8 September 1925,Spike Milligan,The Goons,Peter Sellers & Sophia Loren
13505,10 October 1969 (age 53),Eilen Jewell,Mary Gauthier,Kathleen Edwards
13506,12 June 1932,Billy Lee Riley,Warren Smith,Carl Perkins
13507,1939 – 1951 (12 years),The Andrews Sisters,Louis Prima,Louis Jordan
13508,1979 – present (43 years),Link Wray,Wanda Jackson,Stray Cats
13509,11 February 1914,Blind Boy Fuller,Lonnie Johnson,Mississippi Sheiks
13510,,Gene Vincent,Gene Vincent & His Blue Caps,Little Richard
13511,1993 – present (29 years),Brian Mallery,Amy Speace,Steff Mahan
13512,,Billy Sills,Bunker Hill,Tommy King
13513,11 August 1939,Johnny Carroll,Ronnie Self,Ray Campi
13514,1993 – 2004 (11 years),Arcturus,Limbonic Art,Sigh
13515,1996 – present (26 years),Aborted,Dying Fetus,Anaal Nathrakh
13516,,Living Sacrifice,Shai Hulud,In the Midst of Lions
13517,,Damien Leith,Gin Wigmore,Alex Who?
13518,2002 – present (20 years),The Angels of Light,Avey Tare,Animal Collective
13519,2000 – present (22 years),Fruit Bats,Deer Tick,Dawes
13520,1977 – present (45 years),Peter and the Test Tube Babies,GBH,The Vibrators
13521,1990 – present (32 years),Subhumans,Snuff,Voodoo Glow Skulls
13522,1981 – present (41 years),One Way System,Total Chaos,The Varukers
13523,"Sutton, London, England, United Kingdom",Hagar the Womb,Flowers In The Dustbin,Cress
13524,1977 – 1989 (12 years),Zounds,Conflict,Crass
13525,1980 – 1986 (6 years),Conflict,Crass,Dirt
13526,,I Object,RAMBO,R.A.M.B.O.
13527,"Stirling, Stirling, Scotland, United Kingdom",Lost Cherrees,Flowers In The Dustbin,Riot/Clone
13528,,Cress,Fleas and Lice,Contravene
13529,1977 – present (45 years),The Mob,Crass,Icons of Filth
13530,,Icons of Filth,Flux of Pink Indians,Crass
13531,"Baltimore, Maryland, United States",Contravene,Antischism,Omega Tribe
13532,1980 – 1986 (6 years),Lost Cherrees,Flowers In The Dustbin,Rubella Ballet
13533,1988 – 1998 (10 years),Antisect,Contravene,Anti-Product
13534,17 June 1958 (age 64),Dead Kennedys,The Dead Milkmen,Jello Biafra and the Guantanamo School of Medicine
13535,2000 – present (22 years),Flowing Tears,Theatre of Tragedy,The Sins of Thy Beloved
13536,13 October 2021 (aged None),Trobar de Morte,The Moon and the Nightspirit,Narsilion
13537,,Derek Cooper & the Minis,Lester Butler Tribute Band,Out of the Blue!
13538,1989 – present (33 years),Cherry Poppin' Daddies,Royal Crown Revue,Squirrel Nut Zippers
13539,11 June 1970,Зимовье Зверей,Александр Непомнящий,Павел Фахртдинов
13540,,Иваси,Адриан И Александр,Игорь Белый
13541,,The New Morty Show,Bellevue Cadillac,Big Rude Jake
13542,1996 – present (26 years),Ермен Анти,Хвост,Машнин И Дронскибит
13543,,Иваси,Михаил Щербаков,Адриан И Александр
13544,,Danielle Nicole,Uni Debess,Billy D & The Hoodoos
13545,,Redd Aye,Blues Rush,Derek Cooper & the Minis
13546,,Евгений Клячкин,Петр Лещенко,Юрий Наумов
13547,1998 – 2006 (8 years),Mr. Airplane Man,The Dirtbombs,Night Beats
13548,,Blues Rush,Redd Aye,Dave Sadler
13549,6 June 1974 (age 48),Kid Rock,Lonestar,Billy Currington
13550,29 January 1942 (age 80),Françoise Hardy,Jane Birkin,The Cyrkle
13551,21 March 1978 (age 44),Gangsta Boo,Krucifix Klan,Project Pat
13552,2002 – 2013 (11 years),Xiu Xiu,Ten In The Swear Jar,Casiotone for the Painfully Alone
13553,1989 – present (33 years),Mattias Alkberg BD,Mattias Alkberg,Silverbullit
13554,31 October 1957 (age 65),Guided by Voices,Tobin Sprout,Cub Scout Bowling Pins
13555,7 August 1979 (age 43),Project Pat,La Chat,Three 6 Mafia
13556,1999 – present (23 years),Coachwhips,Thee Oh Sees,Ty Segall
13557,,Erik de Vahl,Most Valuable Players,CDOASS
13558,1977 (age 45),Rachael Cantu,Northern State,Tegan Quin
13559,22 November 1972 (age 50),Shannon Wright,Smog,Bill Callahan
13560,28 December 1931,John Wiese,Luigi Russolo,Les Georges Leningrad
13561,29 August 1924,Sarah Vaughan,Etta Jones,Carmen McRae
13562,1 December 1959 (age 63),The Buff Medways,Pop Rivets,Billy Childish and the Blackhands
13563,,,,
13564,19 March 1959 (age 63),Craig Safan,Jerry Fielding,Carlo Siliotto
13565,1999 – present (23 years),Brooklyn Duo,Simply Three,Midnite String Quartet
13566,,Scouting for Girls,McFly,Busted
13567,2 March 1988 (age 34),Debby Ryan,Miranda Cosgrove,Anna Nalick
13568,,Dead In The Dirt,Cerce,Weekend Nachos
13569,,Futurama,Ren & Stimpy,Drawn Together
13570,1999 – present (23 years),Краснознаменная Дивизия Имени Моей Бабушки,Комсомольск,Amen 78
13571,2005 – present (17 years),Kill the Client,Antigama,Rotten Sound
13572,,5016,Katya Chehova,"Жириновский Владимир (Джордж Гаши, Заги Бок)"
13573,,Outlaw Order,Negative Reaction,Zoroaster
13574,2009 – present (13 years),Every Time I Die,He Is Legend,Maylene and the Sons of Disaster
13575,,Discordance Axis,No One Knows What the Dead Think,Takafumi Matsubara
13576,2009 – present (13 years),Split Seconds,Marvins Revolt,Delorentos
13577,,Destiny,Adam,The Force Dimension
13578,"Moscow, Russian Federation",Male Factors,Киоск,Shootki
13579,,Black Sheep Wall,Gaza,Body Void
13580,,Шлюз,Male Factors,St. Petersburg Ska-Jazz Review
13581,,The Postman Syndrome,Codeseven,Far-Less
13582,"Moscow, Russian Federation",Male Factors,Киоск,Shootki
13583,,Паша Техник,Трагедия Всей Жизни,Овсянкин
13584,,Заточка,Кирпичи,Killagram
13585,,N1nth Cloud,Creative Juices,Double A.B
13586,,GIR i Skrile,Flowdeep,Tibor
13587,,Mod Flanders Conspiracy,Destroyer Destroyer,Robotosaurus
13588,"Long Beach, Los Angeles County, California, United States",Main Sequence,Ларик Сурапов,sclwn
13589,,,,
13590,,At All Costs,Hate Your Guts,Unforgiven
13591,2005 – present (17 years),Coaxial,Zucchini Drive,Otem Rellik
13592,4 March 1971 (age 51),Jodis,House of Low Culture,Supermachiner
13593,,Искусство Души Безобразной,Terra Fantastica,Flu GI
13594,,Evergreen Terrace,Stop It!!,Maths
13595,,Alec Kopyt,Karl Hlamkin,Пакава Ить
13596,,Skaramanzia,Vostochny Front Orchestra,Брызги
13597,,The Rivalry,A Secret Death,The_Network
13598,,Amber Run,Aquilo,Kodaline
13599,15 December 1983 (age 38),Bic Runga,Anna Nalick,Sara Bareilles
13600,,Deliverance,Whitecross,Narnia
13601,2008 – present (14 years),The Ember Days,Great Awakening,Bellarive
13602,,Twothirtyeight,The Glorious Unseen,Aireline
13603,27 May 1974 (age 48),Derek Webb & Sandra McCracken,Sandra McCracken,Andrew Osenga
13604,,Indelible Grace Music,Sandra McCracken,Bifrost Arts
13605,,Fixed Til Tuesday,Blessed Is He,I Am Alpha and Omega
13606,2004 – present (18 years),Los Mesoneros,Rawayana,La Vida Bohème
13607,4 February 1957 (age 65),Juno Reactor vs. Don Davis,Rob Dougan,Alan Silvestri
13608,1997 – present (25 years),Saxon Shore,Caspian,Maserati
13609,2006 – present (16 years),Кому Вниз,Оратанія,Андерсон
13610,,The Wolfe Tones,Gaelic Storm,The Young Dubliners
13611,,Давид Азарян,Sahan Arzruni,Ara Gevorgian
13612,,Bad Candy,Az Yet feat. Peter Cetera,Renato Enoch
13613,2006 – present (16 years),ThePlasmas,housethegrate,Sixto Sounds
13614,1989 – present (33 years),Asesino,Brutal Truth,Terrorizer
13615,"Izhevsk, Udmurtskaya Respublika, Russian Federation",4 Позиции Бруно,Der Golem,Порез на Собаке
13616,2 October 1970 (age 52),Motel Connection,Dale Arden,Outwork
13617,2001 – present (21 years),The Johnstones,Hostage Life,The Saint Alvia Cartel
13618,2008 – present (14 years),Dawes,Kevin Devine,Anthony Green
13619,2008 – present (14 years),Say Anything,Saves the Day,mewithoutYou
13620,18 November 1980 (age 42),City and Colour,Chuck Ragan,Noah Gundersen
13621,"Oakland, Bergen County, New Jersey, United States",Baumer,Kiss Kiss,New Atlantic
13622,2002 – present (20 years),My Epic,Emery,mewithoutYou
13623,1995 – present (27 years),Broadcast,The Focus Group,Pram
13624,1997 – present (25 years),Red Red Meat,M. Ward,Hood
13625,,Mindflayer,Neon Hunk,Athletic Automaton
13626,1999 – 2008 (9 years),Howlin Rain,The Heads,Bardo Pond
13627,,,,
13628,1999 – present (23 years),Exhaust,1-Speed Bike,Shalabi Effect
13629,"New York, New York, United States",The Sea and Cake,Hood,The Mercury Program
13630,,Cashier No. 9,A Home. A Heart. Whatever.,Arms
13631,1971 – 1974 (3 years),Shuggie Otis,Baby Huey,The Budos Band
13632,2000 – present (22 years),スキマスイッチ,flumpool,m-flo
13633,27 June 1990 (age 32),Melissa O'Neil,Shaye,Eva Avila
13634,"Glasgow, Scotland, United Kingdom",Toshio Masuda,増田俊郎,Lucy Rose
13635,2005 – present (17 years),Blouse,Braids,Frankie Rose
13636,2002 – present (20 years),Blue States,Flunk,Dusted
13637,,Pública,Vivendo do Ócio & João Bento,Gulivers
13638,25 August 1973 (age 49),Strong Arm Steady,J-Live,MF Grimm
13639,,Extreme Noise Terror,Nausea,Anti Cimex
13640,2003 – present (19 years),Count Bass D,Declaime,Reflection Eternal
13641,,U-N-I,Maybach Music Group,TiRon
13642,14 November 1973 (age 49),Cappadonna,Aceyalone,The Gift Of Gab
13643,1971 – 1985 (14 years),The Main Ingredient,The Blackbyrds,Leon Ware
13644,,Jneiro Jarel,Shape of Broad Minds,Jackhigh
13645,18 January 1980 (age 42),Aesop Rock,Atmosphere,Canibus
13646,2006 – 2011 (5 years),TiRon,Shawn Chrystopher,Fresh Daily
13647,2006 – present (16 years),Braids,Plants and Animals,Stars
13648,1983 – present (38 years),Stars and Rabbit,The S.I.G.I.T,Nidji
13649,1995 – present (27 years),Dewa 19,Padi,MALIQ & D'Essentials
13650,"Jackson, Hinds County, Mississippi, United States",Jens Lekman,Fruit Bats,Ra Ra Riot
13651,1989 – present (33 years),Louis Philippe,The High Llamas,Prefab Sprout
13652,,The New Guilt,Sugar Moon Rabbit,Minute Details
13653,1989 – 2014 (25 years),The Whitlams,Juliana Hatfield,Lisa Loeb
13654,1998 – 2002 (4 years),98º,Michael Learns to Rock,Marion Raven
13655,1988 – present (34 years),Westlife,Boyzone,David Pomeranz
13656,,ravex,Aira Mitsuki,加藤ミリヤ
13657,,Christopher von Uckermann,Selena Gomez & Demi Lovato,
13658,,Daesung,대성,씨엔블루
13659,1969 (age 53),Fazıl Say,Tuluyhan Uğurlu,Ahmet Kanneci
13660,,Madredeus & A Banda Cósmica,Teresa Salgueiro,A Naifa
13661,31 August 1985 (age 37),Sezen Aksu,Sertab Erener,Göksel
13662,,Faruk Korkmaz,Gökçer Yelken,felis
13663,,Birsen Tezer,Bülent Ortaçgil & Fikret Kızılok,Brenna MacCrimmon
13664,12 April 1980 (age 42),Birsen Tezer,Jülide Özçelik,Ceylan Ertem
13665,1913,Mesut Cemil,Münir Nurettin Selçuk,Sema
13666,1999 – present (23 years),Seksendört,Yüksek Sadakat,Manga
13667,,Mandalay,Halou,Crustation
13668,10 October 1968 (age 54),Yüksek Sadakat,Teoman,Emre Aydın
13669,1949 (age 73),Zuhal Olcay,Leman Sam,Incesaz
13670,10 May 1970 (age 52),Jay-Jay Johanson,David Sylvian,Momus
13671,,6.Cadde,Candan Erçetİn,Umay Umay
13672,23 September 1930,Count Basie & Joe Williams,Nancy Wilson & Cannonball Adderley,Louis Armstrong & Oscar Peterson
13673,,Dying Diva,Call the Cops,The Electric Diorama
13674,1985 (age 37),Luke Sital-Singh,Daniel Bedingfield,George Ezra
13675,26 August 1984 (age 38),Haux,Tom Speight,Greg Laswell
13676,,Ady Smith,Poppyfield,The Ladies of Sport
13677,,Kid Finish,Rediscover,The High Court
13678,29 May 1964 (age 58),Christina y los subterráneos,Nacho Vegas,La Bien Querida
13679,,Intoxicados,Ciro y Los Persas,Wos
13680,2 June 1966 (age 56),Luis Eduardo Aute,Pablo Milanés,Joan Manuel Serrat
13681,,Maria Tonteira,Cromaquí,Skacilds
13682,,Suéteres,Graveola e O Lixo Polifônico,Banda Gentileza
13683,2008 – 2012 (4 years),Carah Faye,Electric Valentine,A Kiss Could Be Deadly
13684,,Benflos,Ecos Falsos,Superguidis
13685,25 March 1988 (age 34),Meek Mill,DJ Khaled,J. Cole
13686,"Los Angeles, Los Angeles County, California, United States",Haiku D'Etat,Abstract Rude,Freestyle Fellowship
13687,8 February 1984 (age 38),Curren$y,Statik Selektah,Young Roddy
13688,,Sombre View,KieTheVez,Point Of View
13689,2001 – present (21 years),Latexxx Teens,Neon Synthesis,Epochate
13690,1994 – present (28 years),Spahn Ranch,Imperative Reaction,Velvet Acid Christ
13691,2005 – present (17 years),Xentrifuge,Life Cried,DYM
13692,2003 – present (19 years),Biomekkanik,8kHz Mono,Iambia
13693,,The Girl & The Robot,Foretaste,Antilles
13694,,God Destruction,SlashGore,Ludovico Technique
13695,,Auto-Auto,Kloq,Lola Angst
13696,,Leæther Strip,Noise Unit,Klinik
13697,,Solitary Experiments,Neuroticfish,Unaloon
13698,1991 – present (31 years),Leiahdorus,Echo Image,Cosmicity
13699,,Keef Baker,S:cage,Flaque
13700,,Statemachine,Wave in Head,Backlash
13701,1989 – 1995 (6 years),Bark Psychosis,Moonshake,Cul de Sac
13702,1971 (age 51),Matmos,Daphni,Kaitlyn Aurelia Smith
13703,2002 – present (20 years),The Juan Maclean,Holy Ghost!,Fujiya & Miyagi
13704,30 May 1974 (age 48),Gnarls Barkley,John Legend,Robin Thicke
13705,1990 – present (32 years),Bark Psychosis,Movietone,Bluetile Lounge
13706,14 September 1969,Drexciya,Transllusion,Der Zyklus
13707,1991 – 2002 (11 years),Polvo,Drive Like Jehu,Lowercase
13708,2005 – present (17 years),Angelus Apatrida,Living Sacrifice,Hatchet
13709,,Havok,Lich King,Gama Bomb
13710,1986 – present (36 years),XYZ,Bonfire,At Vance
13711,2001 – present (21 years),Iron Savior,Firewind,Bloodbound
13712,2003 – present (19 years),Lanfear,Supreme Majesty,Highlord
13713,,Evil Masquerade,Brazen Abbot,
13714,1999 – 2020 (21 years),,,
13715,,Chef Aid - The South Park Album,"Various - Club, House, EBM",Shiro Hamaguchi
13716,,J.A.C. Redford,Christian Bale,Newsies - Original Broadway Cast
13717,,Spider-Man,Spider-Man 3,shrek 2
13718,,Ikuta Toma,Ikuta Toma & Yabu Kota,3Tops
13719,,Harry and the Potters,The Remus Lupins,The Whomping Willows
13720,,,,
13721,1993 – present (29 years),Vertical Horizon,Hootie & The Blowfish,Gin Blossoms
13722,1995 – present (27 years),Oleander,Lit,Default
13723,2001 – present (21 years),,,
13724,,Ikuta Toma,修二と彰,山下翔央
13725,,Yamashita Tomohisa & Ikuta Toma,3Tops,Ikuta Toma
13726,,3Tops,亀梨和也,修二と彰
13727,,Karliene,Celtic Woman,Erutan
13728,2 April 1951,和田薫,中川幸太郎,高梨康治
13729,,Hairspray,Robert Lopez and Jeff Marx,Duncan Sheik & Steven Sater
13730,,,,
13731,2007 – present (15 years),Sexy Zone,King & Prince,News
13732,,,,
13733,20 January 1970 (age 52),Five for Fighting,Howie Day,Stephen Speaks
13734,,Fabian Buch,Sido feat. Adel Tawil,Timati feat. Kalenna
13735,,Phatmatix,Azax Syndrom,Khopat
13736,,BoB ft. Bruno,www.djrobsonmichel.com,Tikos Groove feat. Gosha
13737,,Jenni Alpert,Salme Dahlstrom,The Strange Familiar
13738,2009 – 2015 (5 years),Lea Michele,Darren Criss,The Barden Bellas
13739,,Beyonce - www.musicasparabaixar.org,www.djrobsonmichel.com,Jay-Z feat. Rihanna & Kanye West
13740,4 May 1929,Marilyn Monroe,Gene Kelly,Ilene Woods
13741,,Haze,Veysel,KC Rebell
13742,29 February 1976 (age 46),Nelly,Fat Joe,Chingy
13743,,Cidadão Quem,Maskavo,Nenhum de Nós
13744,,Yaga y Mackie,Wibal Y Alex,Angel Doze
13745,1981 – present (41 years),The Flirts,Miquel Brown,Patrick Cowley
13746,4 March 1948,Yes,Jon Anderson,UK
13747,30 September 1947,T. Rex,Mott the Hoople,Slade
13748,1993 – present (29 years),Brian Eno,Passengers,Nine Horses
13749,2002 – 2008 (5 years),Shut Your Eyes and You'll Burst Into Flames,O Fracas,Napoleon IIIrd
13750,2005 – present (17 years),mclusky,christian fitness,Art Brut
13751,,Bilge Pump,Wolves! (of Greece),Ox Scapula
13752,1992 – present (30 years),Oxes,Shield Your Eyes,Alright The Captain
13753,,Grammatics,This Et Al,Juffage
13754,2006 – 2011 (5 years),Johnny Foreigner,Hundred Reasons,Idlewild
13755,,Bilge Pump,Mucky Sailor,Two Minute Noodles
13756,2007 – present (15 years),Demob Happy,Tigercub,FANGCLUB
13757,2004 – present (18 years),The Research,Duels,The Electric Pop Group
13758,1996 – present (26 years),Cowtown,Pifco,Two Minute Noodles
13759,,Fran Rodgers,Monster Killed By Laser,Quack Quack
13760,,This Et Al,I Concur,Shut Your Eyes and You'll Burst Into Flames
13761,2000 – 2007 (7 years),The Feeling,Air Traffic,The Virgins
13762,1999 – present (23 years),Lucybell,Javiera Parra,Joe Vasconcellos
13763,8 March 1714,Carl Nielsen,Arcangelo Corelli,Johann Sebastian Bach
13764,2005 – present (17 years),Razika,Todd Terje,Cut Copy
13765,,Good Weather For An Airstrike,Goldmund,Peter Broderick
13766,,Vagos Y Maleantes,Guerrilla Seca,Zapato 3
13767,28 May 1976 (age 46),Javiera & Los Imposibles,Los Ex,Melvin Crema
13768,,Ras Luta,Bednarek,Eastwest Rockers
13769,22 July 1973 (age 49),Ying Yang Twins,Chingy,Ludacris
13770,23 August 1986 (age 36),Tally Hall,Rob Cantor,They Might Be Giants
13771,,Supernova,Juliane Werding,Francisca Valenzuela
13772,1965 – 1967 (2 years),Los York's,Golden Stars,Los Datsun's
13773,30 January 1974 (age 48),Guayacán Orquesta,Grupo Galé,Río Roma
13774,1977 (age 45),Menomena,Wolf Parade,Department of Eagles
13775,1999 – present (23 years),Totentanz,PtakY,Suchy Chleb Dla Konia
13776,2 April 1947 (age 75),Lola Beltrán,Edith Márquez,Ana Gabriel
13777,,Hilmar Örn Hilmarsson & Sigur Rós,Stafrænn Hákon,Pornopop
13778,,Gabino Pampini,Wayne Gorbea,Tipica 73
13779,1965 – 1969 (4 years),The Seeds,The Electric Prunes,Roky Erickson
13780,1978 – present (44 years),The Bats,The Chills,The Verlaines
13781,9 June 1986 (age 36),謝安琪,Aga,楊千嬅
13782,,"Misao Senbongi, Shusaku Uchiyama","Takeshi Miura, Hijiri Anze, Sanae Kasahara","Shusaku Uchiyama, Takeshi Miura"
13783,,Hannah Montana and Miley Cyrus,Nicholas Jonas,Mitchel Musso & Emily Osment
13784,30 October 1987 (age 35),Selena Gomez & Demi Lovato,KSM,Lucas Grabeel
13785,,"Takeshi Miura, Hijiri Anze, Sanae Kasahara","Masami Ueda, Shusaku Uchiyama, Syun Nishigaki","Masami Ueda, Saori Maeda"
